"WHO region","Year","Infant mortality rate (probability of dying between birth and age 1 per 1000 live births)","Neonatal mortality rate (per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)"
"Africa","2017","50.6","26.7","73.7"
"Africa","2016","52.1","27.2","76.5"
"Africa","2015","53.8","27.9","79.5"
"Africa","2014","55.6","28.5","82.7"
"Africa","2013","57.4","29.2","86.2"
"Africa","2012","59.4","29.9","90.0"
"Africa","2011","61.6","30.7","94.3"
"Africa","2010","64.0","31.5","98.8"
"Africa","2009","66.4","32.3","103.5"
"Africa","2008","69.0","33.1","108.5"
"Africa","2007","71.8","33.9","113.8"
"Africa","2006","74.6","34.8","119.2"
"Africa","2005","77.5","35.7","124.8"
"Africa","2004","80.6","36.6","130.5"
"Africa","2003","83.7","37.5","136.3"
"Africa","2002","86.8","38.5","142.0"
"Africa","2001","89.7","39.4","147.6"
"Africa","2000","92.5","40.3","152.7"
"Africa","1999","94.9","41.1","157.3"
"Africa","1998","97.2","41.9","161.7"
"Africa","1997","99.0","42.5","164.9"
"Africa","1996","100.6","43.0","167.4"
"Africa","1995","102.0","43.4","170.5"
"Africa","1994","103.2","43.8","173.1"
"Africa","1993","104.0","44.1","173.5"
"Africa","1992","104.8","44.4","174.8"
"Africa","1991","105.5","44.7","176.1"
"Africa","1990","106.3","45.0","177.5"
"Americas","2017","12.2","7.9","14.4"
"Americas","2016","12.6","8.1","14.9"
"Americas","2015","12.7","8.1","14.9"
"Americas","2014","13.0","8.3","15.3"
"Americas","2013","13.3","8.4","15.6"
"Americas","2012","13.6","8.6","16.1"
"Americas","2011","14.0","8.7","16.5"
"Americas","2010","14.9","9.0","19.4"
"Americas","2009","14.9","9.2","17.6"
"Americas","2008","15.4","9.5","18.2"
"Americas","2007","15.9","9.7","18.9"
"Americas","2006","16.6","10.0","19.7"
"Americas","2005","17.3","10.4","20.6"
"Americas","2004","18.1","10.8","21.5"
"Americas","2003","18.9","11.2","22.6"
"Americas","2002","19.8","11.7","23.7"
"Americas","2001","20.8","12.2","25.0"
"Americas","2000","21.8","12.8","26.3"
"Americas","1999","23.0","13.3","27.9"
"Americas","1998","24.1","13.9","29.5"
"Americas","1997","25.3","14.4","30.8"
"Americas","1996","26.5","14.9","32.4"
"Americas","1995","27.8","15.4","34.1"
"Americas","1994","29.0","15.9","35.8"
"Americas","1993","30.3","16.4","37.6"
"Americas","1992","31.6","16.9","39.4"
"Americas","1991","33.0","17.5","41.2"
"Americas","1990","34.3","18.0","43.1"
"South-East Asia","2017","29.4","21.3","36.0"
"South-East Asia","2016","30.8","22.1","37.9"
"South-East Asia","2015","32.3","23.1","40.0"
"South-East Asia","2014","33.9","24.1","42.2"
"South-East Asia","2013","35.6","25.1","44.6"
"South-East Asia","2012","37.3","26.2","47.2"
"South-East Asia","2011","39.2","27.3","49.8"
"South-East Asia","2010","41.1","28.4","52.6"
"South-East Asia","2009","43.0","29.6","55.4"
"South-East Asia","2008","45.1","30.7","58.9"
"South-East Asia","2007","46.9","31.8","61.3"
"South-East Asia","2006","48.9","33.0","64.3"
"South-East Asia","2005","50.8","34.1","67.3"
"South-East Asia","2004","53.0","35.3","71.3"
"South-East Asia","2003","54.9","36.6","73.6"
"South-East Asia","2002","57.0","37.9","76.9"
"South-East Asia","2001","59.2","39.3","80.4"
"South-East Asia","2000","61.5","40.6","83.9"
"South-East Asia","1999","63.8","42.0","87.4"
"South-East Asia","1998","66.1","43.3","91.0"
"South-East Asia","1997","68.4","44.5","94.5"
"South-East Asia","1996","70.6","45.7","98.0"
"South-East Asia","1995","72.8","46.9","101.4"
"South-East Asia","1994","74.9","48.1","104.8"
"South-East Asia","1993","77.0","49.2","108.1"
"South-East Asia","1992","79.1","50.4","111.4"
"South-East Asia","1991","81.3","51.5","114.9"
"South-East Asia","1990","83.6","52.8","118.5"
"Europe","2017","7.7","4.6","8.9"
"Europe","2016","8.1","4.8","9.3"
"Europe","2015","8.5","5.1","9.8"
"Europe","2014","8.9","5.3","10.3"
"Europe","2013","9.3","5.5","10.8"
"Europe","2012","9.8","5.8","11.3"
"Europe","2011","10.2","6.0","11.8"
"Europe","2010","10.7","6.3","12.4"
"Europe","2009","11.1","6.6","13.0"
"Europe","2008","11.7","6.9","13.6"
"Europe","2007","12.3","7.2","14.3"
"Europe","2006","12.9","7.6","15.1"
"Europe","2005","13.6","8.0","16.0"
"Europe","2004","14.3","8.4","17.0"
"Europe","2003","15.1","8.9","18.0"
"Europe","2002","16.0","9.3","19.1"
"Europe","2001","16.9","9.8","20.3"
"Europe","2000","17.8","10.3","21.5"
"Europe","1999","18.8","10.8","22.7"
"Europe","1998","19.7","11.2","24.0"
"Europe","1997","20.7","11.7","25.2"
"Europe","1996","21.5","12.2","26.3"
"Europe","1995","22.3","12.6","27.4"
"Europe","1994","23.0","13.0","28.2"
"Europe","1993","23.6","13.3","29.0"
"Europe","1992","24.0","13.5","29.5"
"Europe","1991","24.4","13.8","30.1"
"Europe","1990","24.9","14.0","30.7"
"Eastern Mediterranean","2017","39.0","26.7","49.6"
"Eastern Mediterranean","2016","39.9","27.3","50.9"
"Eastern Mediterranean","2015","40.9","27.9","52.3"
"Eastern Mediterranean","2014","41.9","28.5","53.7"
"Eastern Mediterranean","2013","42.9","29.1","55.3"
"Eastern Mediterranean","2012","44.0","29.7","56.9"
"Eastern Mediterranean","2011","45.2","30.4","58.6"
"Eastern Mediterranean","2010","46.4","31.0","60.3"
"Eastern Mediterranean","2009","47.7","31.6","62.2"
"Eastern Mediterranean","2008","49.1","32.1","64.2"
"Eastern Mediterranean","2007","50.4","32.7","66.2"
"Eastern Mediterranean","2006","51.8","33.4","68.1"
"Eastern Mediterranean","2005","53.1","34.2","70.1"
"Eastern Mediterranean","2004","54.5","35.1","72.0"
"Eastern Mediterranean","2003","55.9","36.0","74.1"
"Eastern Mediterranean","2002","57.3","36.9","76.2"
"Eastern Mediterranean","2001","58.8","37.7","78.4"
"Eastern Mediterranean","2000","60.4","38.6","80.6"
"Eastern Mediterranean","1999","62.0","39.5","82.9"
"Eastern Mediterranean","1998","63.6","40.4","85.1"
"Eastern Mediterranean","1997","65.2","41.2","87.3"
"Eastern Mediterranean","1996","66.7","41.9","89.4"
"Eastern Mediterranean","1995","68.2","42.4","91.5"
"Eastern Mediterranean","1994","69.6","42.9","93.5"
"Eastern Mediterranean","1993","71.0","43.2","95.6"
"Eastern Mediterranean","1992","72.4","43.3","97.6"
"Eastern Mediterranean","1991","73.8","43.3","99.8"
"Eastern Mediterranean","1990","75.4","43.3","102.2"
"Western Pacific","2017","10.4","6.2","12.6"
"Western Pacific","2016","10.9","6.5","13.1"
"Western Pacific","2015","11.4","6.9","13.8"
"Western Pacific","2014","12.0","7.2","14.5"
"Western Pacific","2013","12.7","7.6","15.2"
"Western Pacific","2012","13.4","8.1","16.1"
"Western Pacific","2011","14.1","8.6","17.0"
"Western Pacific","2010","15.0","9.1","17.9"
"Western Pacific","2009","15.8","9.7","19.0"
"Western Pacific","2008","16.8","10.5","20.2"
"Western Pacific","2007","17.9","11.3","21.5"
"Western Pacific","2006","19.1","12.2","23.0"
"Western Pacific","2005","20.4","13.2","24.7"
"Western Pacific","2004","21.9","14.3","26.6"
"Western Pacific","2003","23.4","15.5","28.6"
"Western Pacific","2002","25.0","16.6","30.8"
"Western Pacific","2001","26.7","17.8","33.0"
"Western Pacific","2000","28.2","18.9","35.1"
"Western Pacific","1999","29.6","19.7","37.1"
"Western Pacific","1998","31.0","20.6","39.0"
"Western Pacific","1997","32.2","21.4","40.8"
"Western Pacific","1996","33.5","22.4","42.6"
"Western Pacific","1995","34.7","23.3","44.4"
"Western Pacific","1994","36.0","24.2","46.2"
"Western Pacific","1993","37.2","25.0","47.9"
"Western Pacific","1992","38.3","25.7","49.5"
"Western Pacific","1991","39.2","26.3","50.8"
"Western Pacific","1990","39.8","26.6","51.7"
"(WHO) Global","2017","29.4","18.0","39.1"
"(WHO) Global","2016","30.3","18.5","40.5"
"(WHO) Global","2015","31.2","19.0","41.9"
"(WHO) Global","2014","32.2","19.6","43.5"
"(WHO) Global","2013","33.3","20.1","45.2"
"(WHO) Global","2012","34.5","20.8","47.1"
"(WHO) Global","2011","35.8","21.4","49.1"
"(WHO) Global","2010","37.2","22.1","51.5"
"(WHO) Global","2009","38.6","22.8","53.5"
"(WHO) Global","2008","40.1","23.6","56.0"
"(WHO) Global","2007","41.6","24.3","58.3"
"(WHO) Global","2006","43.2","25.1","60.9"
"(WHO) Global","2005","44.9","26.0","63.5"
"(WHO) Global","2004","46.6","26.9","66.5"
"(WHO) Global","2003","48.3","27.8","69.0"
"(WHO) Global","2002","50.1","28.8","71.7"
"(WHO) Global","2001","51.9","29.7","74.5"
"(WHO) Global","2000","53.6","30.6","77.1"
"(WHO) Global","1999","55.1","31.5","79.5"
"(WHO) Global","1998","56.6","32.3","81.8"
"(WHO) Global","1997","58.0","33.0","83.7"
"(WHO) Global","1996","59.2","33.7","85.4"
"(WHO) Global","1995","60.3","34.3","87.1"
"(WHO) Global","1994","61.3","34.8","88.6"
"(WHO) Global","1993","62.2","35.3","89.6"
"(WHO) Global","1992","63.0","35.8","90.8"
"(WHO) Global","1991","63.8","36.2","92.0"
"(WHO) Global","1990","64.7","36.6","93.2"
